                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83442,                 2.2812,                 1.2422,                0.78262,                0.44916,                0.59207,                0.44718,                0.95154,                 2.2695,                 1.5411,             0.00054274,             0.00054274,             0.00054274
                      2,                0.90278,                 1.7299,                 1.3037,                0.51666,                0.55644,                0.55811,                0.33967,                 1.1856,                 2.6856,                 1.8869,              0.0010948,              0.0010948,              0.0010948
                      3,                 1.0062,                 1.6894,                 1.3531,                0.43761,                0.58065,                0.52562,                0.32217,                 1.2789,                 2.2557,                 1.9289,              0.0016432,              0.0016432,              0.0016432
                      4,                 1.0346,                 1.6433,                 1.3811,                0.79229,                0.51211,                0.63653,                0.42934,                 1.0356,                 2.2605,                 1.7075,              0.0016505,              0.0016505,              0.0016505
                      5,                 1.0223,                 1.5705,                 1.3748,                0.69401,                0.64612,                0.71515,                0.43202,                 1.2294,                 3.0517,                 1.9211,              0.0016505,              0.0016505,              0.0016505
                      6,                  1.056,                 1.6263,                 1.3866,                0.67768,                0.54452,                 0.6092,                0.40109,                 1.2625,                 2.2168,                  1.906,               0.001645,               0.001645,               0.001645
                      7,                 1.0729,                 1.5537,                 1.4166,                0.72095,                 0.6489,                 0.7653,                0.51319,                 1.1454,                 1.9271,                  1.785,              0.0016395,              0.0016395,              0.0016395
                      8,                 1.0358,                 1.4818,                  1.381,                0.84163,                0.67669,                0.79607,                0.50404,                 1.1293,                 1.6998,                 1.7585,               0.001634,               0.001634,               0.001634
                      9,                 1.0144,                  1.394,                 1.3365,                0.83984,                0.62097,                0.75911,                0.49886,                 1.1252,                 1.8095,                 1.7758,              0.0016285,              0.0016285,              0.0016285
                     10,                0.97846,                 1.3851,                 1.3434,                0.74591,                0.60607,                0.72932,                0.45813,                 1.1528,                 2.0857,                 1.7225,               0.001623,               0.001623,               0.001623
                     11,                0.94972,                  1.364,                 1.3246,                0.75194,                0.65323,                0.74082,                 0.5019,                 1.1298,                 1.8898,                 1.6339,              0.0016175,              0.0016175,              0.0016175
                     12,                0.93171,                  1.265,                 1.2892,                0.76151,                0.72236,                0.80268,                0.58339,                 0.9675,                 1.4231,                 1.5194,               0.001612,               0.001612,               0.001612
                     13,                0.91666,                 1.1949,                 1.2776,                0.84884,                0.65491,                0.75093,                0.53174,                 1.0039,                 1.4138,                 1.5909,              0.0016065,              0.0016065,              0.0016065
                     14,                0.89631,                 1.1892,                 1.2736,                0.77922,                0.68548,                0.75486,                0.54218,                 1.0163,                 1.3706,                 1.5984,               0.001601,               0.001601,               0.001601
                     15,                0.89104,                 1.1623,                 1.2622,                0.89889,                0.70968,                0.80546,                0.54293,                  1.106,                 1.2743,                  1.741,              0.0015955,              0.0015955,              0.0015955
                     16,                0.90717,                 1.1543,                 1.2731,                0.84762,                0.71739,                0.78959,                0.55535,                 1.0872,                 1.2126,                 1.6557,                0.00159,                0.00159,                0.00159
                     17,                0.89892,                 1.1389,                 1.2586,                 0.8173,                0.74843,                 0.7835,                 0.5624,                0.98218,                 1.1771,                 1.5513,              0.0015845,              0.0015845,              0.0015845
                     18,                 0.8705,                 1.1002,                 1.2625,                0.82577,                0.67332,                0.76884,                0.55864,                 1.0065,                 1.3472,                 1.5318,               0.001579,               0.001579,               0.001579
                     19,                0.91339,                 1.1151,                 1.2669,                0.82297,                0.68548,                 0.7658,                0.56614,                0.95379,                 1.4034,                 1.5308,              0.0015735,              0.0015735,              0.0015735
                     20,                0.85859,                  1.077,                 1.2314,                0.78439,                0.74194,                0.81619,                0.61903,                 0.9589,                  1.091,                 1.5336,               0.001568,               0.001568,               0.001568
                     21,                0.86085,                 1.0582,                 1.2617,                0.81909,                0.71774,                0.80176,                0.58695,                  1.017,                 1.1119,                 1.5918,              0.0015625,              0.0015625,              0.0015625
                     22,                0.88605,                 1.0679,                 1.2699,                0.84856,                0.77589,                0.84823,                0.64883,                0.87727,                 1.1532,                  1.482,               0.001557,               0.001557,               0.001557
                     23,                0.84267,                 1.0449,                 1.2294,                0.84268,                0.76613,                0.83854,                0.62112,                0.94704,                 1.0047,                  1.565,              0.0015515,              0.0015515,              0.0015515
                     24,                0.81883,                0.96323,                 1.2111,                0.92311,                0.74194,                0.85231,                 0.6367,                0.92549,                 1.0438,                 1.4462,               0.001546,               0.001546,               0.001546
                     25,                 0.7879,                0.93486,                 1.1854,                0.88791,                0.74888,                0.84473,                0.63998,                0.93932,                 1.0866,                 1.5192,              0.0015405,              0.0015405,              0.0015405
                     26,                0.82038,                 0.9462,                 1.2128,                0.95018,                0.74697,                0.88684,                0.66314,                0.89263,                0.86094,                 1.4961,               0.001535,               0.001535,               0.001535
                     27,                 0.8149,                0.93117,                 1.2108,                0.91304,                0.75806,                0.87654,                0.67445,                0.90703,                0.84462,                 1.5328,              0.0015295,              0.0015295,              0.0015295
                     28,                0.81502,                0.94668,                 1.2326,                0.88078,                0.80008,                0.85757,                0.64543,                0.88281,                0.92033,                 1.4511,               0.001524,               0.001524,               0.001524
                     29,                 0.8078,                0.96485,                 1.2067,                0.84351,                0.76613,                0.83174,                0.61474,                0.91949,                 1.0119,                  1.479,              0.0015185,              0.0015185,              0.0015185
                     30,                0.80534,                0.97432,                  1.206,                0.89177,                0.75806,                0.84962,                0.64408,                0.84625,                0.91062,                 1.3616,               0.001513,               0.001513,               0.001513
                     31,                0.81308,                 0.9442,                 1.2211,                 0.8529,                   0.75,                0.83588,                0.61497,                0.97069,                0.96938,                  1.546,              0.0015075,              0.0015075,              0.0015075
                     32,                0.77434,                0.91744,                 1.2006,                0.81729,                0.78324,                0.83325,                0.62554,                0.92665,                0.94006,                 1.5027,               0.001502,               0.001502,               0.001502
                     33,                0.80983,                0.93604,                 1.1985,                0.89062,                0.71969,                0.84241,                0.67052,                0.84832,                0.99084,                 1.4116,              0.0014965,              0.0014965,              0.0014965
